ID,Name,Damage,Healing,Duration,Cooldown,Accuracy,Type,Popularity,Description
172,Scorched Earth,27,,9 turns,3 turns,100%,Dragonkin,3,"100% Hit Chance  Scorches the ground, dealing 27 Dragonkin damage and dealing 4 Dragonkin damage to all active pets each round for 9 rounds.  During Scorched Earth, all pets count as Burning."
652,Haunt,,,4 turns,4 turns,100%,Undead,3,"100% Hit Chance  The user transforms into an unholy spirit and enters the target, dealing 10 Undead damage every round.   While haunting a target, the user is considered dead."
592,Wild Magic,,,5 turns,,100%,Magic,3,100% Hit Chance  Adds 5 damage to every attack against the target.   Lasts 5 rounds. Used by 56 battle pets. In the Magic Battle Pet Abilities category.
190,Cyclone,,,5 turns,5 turns,100%,Flying,2,Creates a cyclone which has a 35% chance to deal 6 Flying damage to the enemy team each round.  Lasts 5 rounds. Used by 92 battle pets. A battle pet ability.
152,Poison Fang,10,,5 turns,,100%,Beast,2,100% Hit Chance  Instantly deals 10 Beast damage and Poisons the target for 5 additional Elemental damage per round for 5 rounds. Used by 97 battle pets.
210,Shadow Slash,21,,,,100%,Undead,2,"100% Hit Chance  Slashes at the target with dark energy, dealing 21 Undead damage. Used by 29 battle pets. In the Undead Battle Pet Abilities category."
360,Flurry,30,,,,50%,Critter,2,"100% Hit Chance  Rapidly strikes at the enemy 1-2 times, dealing 10 Critter damage per hit.  Hits an additional time if the user attacks first."
208,Supercharge,,,1 turns,3 turns,100%,Mechanical,2,Increases the damage of your next attack made within 1 rounds by 125%. Used by 23 battle pets. In the Mechanical Battle Pet Abilities category.
218,Curse of Doom,,,4 turns,5 turns,100%,Undead,2,100% Hit Chance  Deals 40 Undead damage after 4 rounds. Used by 44 battle pets. In the Undead Battle Pet Abilities category. Always up to date.
593,Surge of Power,50,,2 turns,5 turns,100%,Magic,2,"100% Hit Chance  Instantly deals 50 Magic damage. The user must recharge for two rounds afterwards.  While recharging, you cannot perform any other actions."
163,Stampede,45,,2 turns,,100%,Critter,2,"100% Hit Chance  Starts a stampede, causing 9 Critter damage on the first round, 15 Critter on the second round, and 21 Critter on the third round.  Opponents struck by the stampede take 50% increased damage for 2 rounds.  Stampede continues for 3 rounds."
1287,Carpnado,33,,,5 turns,100%,Aquatic,2,"100% Hit Chance  Summons a frenzy of furious fish on your enemies, dealing 33 Aquatic damage, split evenly amongst them. Used by 8 battle pets."
710,Build Turret,,,4 turns,2 turns,100%,Mechanical,2,"Builds a turret that assaults the enemy team's front pet, dealing 9 Mechanical damage each round.   Each turret lasts 4 rounds. Used by 12 battle pets."
117,Infected Claw,22,,,,100%,Undead,2,"100% Hit Chance  Tears at the enemy with plagued claws, dealing 22 Undead damage. Used by 34 battle pets. In the Undead Battle Pet Abilities category."
511,Renewing Mists,,,3 turns,,100%,Aquatic,2,"Fills the area with a healing mist, causing your front pet to restore 8 health every round.  Lasts 3 rounds. Persists through pet swaps. Used by 26 battle pets."
334,Decoy,,,,8 turns,100%,Mechanical,2,Creates a wooden decoy that protects your team from two attacks. Used by 14 battle pets. In the Mechanical Battle Pet Abilities category. Always up to date.
504,Alpha Strike,25,,,,100%,Flying,2,"100% Hit Chance  Boldly attack, dealing 15 Flying damage plus 10 Flying damage if the user strikes first. Used by 59 battle pets. In the Flying Battle Pet Abilities category."
448,Creeping Ooze,14,,3 turns,,100%,Aquatic,2,"100% Hit Chance  Covers the target in a Poisonous ooze, which deals 14 Aquatic damage plus 5 damage each round. Lasts 3 rounds. Used by 27 battle pets."
307,Kick,15,,,3 turns,100%,Humanoid,2,100% Hit Chance  Deals 15 Humanoid damage and stuns the opponent if the user goes first. Used by 17 battle pets. A battle pet ability from World of Warcraft.
490,Deflection,,,,3 turns,100%,Humanoid,2,Avoids enemy attacks made during the round it is used.  This ability always goes first. Used by 23 battle pets. A battle pet ability from World of Warcraft.
453,Sandstorm,45,,5 turns,5 turns,100%,Flying,2,"100% Hit Chance  Deals 45 Flying damage and turns the weather into a sandstorm for 5 rounds.  During a sandstorm, all pets take 5 less damage and their accuracy is reduced by 10%."
299,Arcane Explosion,22,,,,100%,Magic,2,100% Hit Chance  Deals 10 Magic damage to the enemy's active pet and 6 Magic damage to the enemy's backline pets. Used by 25 battle pets. A battle pet ability.
209,Ion Cannon,50,,,5 turns,100%,Mechanical,2,"100% Hit Chance  Instantly deals 50 Mechanical damage. The user must recharge for two rounds afterwards.  While recharging, you cannot perform any other actions."
406,Crush,22,,,,100%,Humanoid,2,"100% Hit Chance  Crush the enemy, dealing 22 Humanoid damage. Used by 34 battle pets. A battle pet ability from World of Warcraft. Always up to date."
598,Emerald Dream,,,2 turns,5 turns,100%,Dragonkin,2,"Fall asleep, restoring 10 health on the first round, 20 health on the second, then 40 health on the third.  While in the Emerald Dream, you cannot swap pets."
119,Scratch,20,,,,100%,Critter,2,"100% Hit Chance  Scratches the enemy, dealing 20 Critter damage. Used by 195 battle pets. In the Critter Battle Pet Abilities category. Always up to date."
517,Nocturnal Strike,40,,,3 turns,50%,Flying,2,50% Hit Chance  Deals 40 Flying damage.   Always hits if the target is Blinded. Used by 45 battle pets. In the Flying Battle Pet Abilities category.
513,Whirlpool,,,2 turns,3 turns,100%,Aquatic,2,"100% Hit Chance  Causes a whirlpool to form under the enemy pet.   In two rounds, the opponent's pet will take 30 Aquatic damage and be rooted for 2 rounds."
228,Tongue Lash,30,,,,50%,Critter,2,"100% Hit Chance  Licks the enemy 1-2 times, dealing 10 Critter damage per hit.  Hits an additional time if the user attacks first. Used by 58 battle pets."
110,Bite,20,,,,100%,Beast,2,"100% Hit Chance  Bites at the enemy, dealing 20 Beast damage. Used by 279 battle pets. In the Beast Battle Pet Abilities category. Always up to date."
115,Breath,21,,,,100%,Dragonkin,2,"100% Hit Chance  Overwhelms the enemy with draconic breath, dealing 21 Dragonkin damage. Used by 47 battle pets. In the Dragonkin Battle Pet Abilities category."
202,Thrash,30,,,,50%,Beast,2,"100% Hit Chance  Wildly flails at the enemy 1-2 times, dealing 10 Beast damage per hit.  Hits an additional time if the user attacks first. A battle pet ability."
420,Slicing Wind,30,,,,33%,Flying,2,"100% Hit Chance  Attacks the enemy with 1-3 blades of wind, dealing 10 Flying damage per attack. Used by 191 battle pets. In the Flying Battle Pet Abilities category."
321,Unholy Ascension,,,9 turns,,100%,Undead,2,"100% Hit Chance  Sacrifices your remaining life to haunt the enemy team, increasing all damage they take by 25% for 9 rounds. Used by 7 battle pets."
712,Railgun,21,,,,100%,Elemental,2,"100% Hit Chance  Fires a magnetically-powered shot, dealing 21 Elemental damage. Used by 3 battle pets. In the Elemental Battle Pet Abilities category."
779,Thunderbolt,36,,,4 turns,100%,Elemental,2,100% Hit Chance  Deals 36 Elemental damage split evenly across the enemy team. Used by 24 battle pets. In the Elemental Battle Pet Abilities category.
449,Absorb,10,100,,,100%,Undead,2,100% Hit Chance  Deals 10 Undead damage.  The user is healed for 100% of the damage dealt. Used by 49 battle pets. In the Undead Battle Pet Abilities category.
159,Burrow,30,,1 turns,4 turns,100%,Beast,2,"100% Hit Chance  Burrow under the ground, becoming unattackable for one round.  On the next round, you attack, dealing 30 Beast damage. Used by 155 battle pets."
519,Apocalypse,,,15 turns,20 turns,100%,Critter,2,"100% Hit Chance  Calls down a meteor, which will fall 15 rounds from now, instantly killing all active pets.  Cockroaches and Beetles always survive this attack."
297,Pump,,,,,100%,Aquatic,2,"100% Hit Chance  First use: Increases your damage dealt by 10%.  Second use: Blasts the target with a surge of water, dealing 45 Aquatic damage."
921,Hunting Party,30,,1 turns,4 turns,100%,Beast,2,"100% Hit Chance  Hunt in a party of raptors, causing 15 Beast damage.  Opponents struck by the hunting party take 50% increased damage for 1 rounds.  Hunting Party continues for 2 rounds."
1050,Puncture Wound,40,,,3 turns,100%,Beast,2,"100% Hit Chance  Bites deeply into the enemy, dealing 20 Beast damage.   Deals double damage if the target is Poisoned. Used by 37 battle pets."
179,Conflagrate,40,,,4 turns,100%,Elemental,2,100% Hit Chance  Deals 30 Elemental damage.  Deals 10 Elemental additional damage if the target is Burning. Used by 48 battle pets. A battle pet ability.
814,Rupture,30,,1 turns,4 turns,25%,Elemental,2,"100% Hit Chance  Stone spikes erupt from the ground, dealing 30 Elemental damage and has a 25% chance to stun the target. Used by 25 battle pets."
118,Water Jet,20,,,,100%,Aquatic,2,"100% Hit Chance  Blasts the enemy with a spray of water, dealing 20 Aquatic damage. Used by 141 battle pets. In the Aquatic Battle Pet Abilities category."
230,Cleansing Rain,,27,9 turns,3 turns,100%,Aquatic,2,"Restores 9 health to your team and calls down a cleansing rain for 9 rounds.   During a cleansing rain, the duration of hostile damage over time effects is reduced by 1 round and Aquatic abilities deal 25% more damage."
646,Shock and Awe,30,,1 turns,4 turns,25%,Mechanical,2,100% Hit Chance  Deals 30 Mechanical damage and has a 25% chance to stun the target for 1 round. Used by 12 battle pets. In the Mechanical Battle Pet Abilities category.
2223,Murder the Innocent,30,,,3 turns,100%,Magic,2,"Blast the target with unholy magic, dealing 30% of the target's health in damage. Used by 3 battle pets. In the Magic Battle Pet Abilities category."
536,Prowl,,,2 turns,5 turns,100%,Beast,2,Reduces your speed by 30% and increases the damage of your next attack made within 2 rounds by 150%. Used by 72 battle pets. In the Beast Battle Pet Abilities category.
803,Rip,10,,5 turns,,100%,Beast,2,100% Hit Chance  Deals 10 Beast damage and causes the target to Bleed for 5 Beast damage per round for 5 rounds. Used by 46 battle pets. A battle pet ability.
384,Metal Fist,20,,,,100%,Mechanical,2,"100% Hit Chance  Punches the target, dealing 20 Mechanical damage. Used by 27 battle pets. In the Mechanical Battle Pet Abilities category. Always up to date."
459,Wind-Up,,,,,100%,Mechanical,2,"100% Hit Chance  First use: Increases your damage dealt by 10%.  Second use: Unleashes a flurry of attacks, dealing 45 Mechanical damage. Used by 20 battle pets."
597,Emerald Presence,,,5 turns,,100%,Dragonkin,2,Reduces up to 5 damage from each attack against you.   Lasts 5 rounds. Used by 11 battle pets. In the Dragonkin Battle Pet Abilities category.
170,Lift-Off,30,,1 turns,4 turns,100%,Flying,2,"100% Hit Chance  Fly up high, becoming unattackable for one round.  On the next round, you attack, dealing 30 Flying damage. Used by 121 battle pets."
657,Plagued Blood,16,,5 turns,,100%,Undead,2,"100% Hit Chance  Deals 16 Undead damage and plagues the target for 5 rounds.   While plagued, enemies who strike the target are healed. Used by 31 battle pets."
566,Powerball,15,,,,100%,Critter,2,"100% Hit Chance  Roll at the enemy, dealing 15 Critter damage and increasing your speed by 20%.   Your speed continues to increase each time you use Powerball."
113,Burn,21,,,,100%,Elemental,2,"100% Hit Chance  Blasts the enemy with fire, dealing 21 Elemental damage. Used by 63 battle pets. In the Elemental Battle Pet Abilities category."
934,Bubble,,,,8 turns,100%,Humanoid,2,"A bubble surrounds you, blocking the next two attacks. Used by 51 battle pets. A battle pet ability from World of Warcraft. Always up to date."
422,Shadow Shock,22,,,,100%,Undead,2,"100% Hit Chance  Shocks the target with dark energy, dealing 22 Undead damage. Used by 29 battle pets. In the Undead Battle Pet Abilities category."
421,Arcane Blast,15,,,,100%,Magic,2,"100% Hit Chance  Blasts the enemy with a surge of arcane power, dealing 15 Magic damage.   Damage increases by 5 each time it is used. Max 25 Magic damage."
450,Expunge,32,,,3 turns,100%,Magic,2,100% Hit Chance  Deals 32 Magic damage to the target. Used by 28 battle pets. In the Magic Battle Pet Abilities category. Always up to date with the latest patch.
369,Acidic Goo,,,3 turns,,100%,Critter,2,"100% Hit Chance  Spits Poison goo onto the target, dealing 5 Critter damage each round and increasing damage taken by 25% for 3 rounds. Used by 69 battle pets."
611,Ancient Blessing,,28,9 turns,3 turns,100%,Dragonkin,2,Heals the user for 28 health and increases the maximum health of your active pet by 5 per level for 9 rounds. Used by 33 battle pets. A battle pet ability.
665,Consume Corpse,,50,,3 turns,100%,Undead,2,100% Hit Chance  Consumes an allied corpse to restore 50% of total health.  Corpses can only be used once. Used by 32 battle pets. A battle pet ability.
595,Moonfire,27,,9 turns,3 turns,100%,Magic,2,"100% Hit Chance  Deals 27 Magic damage and turns the weather into Moonlight for 9 rounds.  During Moonlight, all pets receive 25% additional healing and Magic abilities deal 10% additional damage."
305,Exposed Wounds,,,5 turns,,100%,Beast,2,100% Hit Chance  Adds 5 damage to every attack against the target.   Lasts 5 rounds. Used by 23 battle pets. In the Beast Battle Pet Abilities category.
538,Devour,30,60,,1 turns,100%,Beast,2,"100% Hit Chance  Deals 15 Beast damage.  If the user kills an enemy with Devour, they restore 30 health.  Devour continues for 2 rounds. Used by 74 battle pets."
366,Dazzling Dance,,,9 turns,,100%,Critter,2,Increases your team's speed by 25% for 9 rounds. Used by 29 battle pets. In the Critter Battle Pet Abilities category. Always up to date with the latest patch.
455,Batter,30,,,,50%,Mechanical,2,"100% Hit Chance  Smacks the enemy 1-2 times, dealing 10 Mechanical damage per smack.  Hits an additional time if the user attacks first. Used by 39 battle pets."
901,Fel Immolate,12,,4 turns,,100%,Elemental,2,100% Hit Chance  Deals 12 Elemental damage instantly. The enemy Burns for 5 additional Elemental damage per round for 4 rounds. Used by 22 battle pets.
250,Spiderling Swarm,40,,,3 turns,100%,Beast,2,"100% Hit Chance  Swarms the enemy with spiderlings, dealing 20 Beast damage.   Deals double damage if the target is Webbed. Used by 55 battle pets."
233,Frog Kiss,10,,1 turns,1 turns,25%,Aquatic,2,100% Hit Chance  Deals 10 Aquatic damage and has a 25% chance to transform the target into a frog for 1 rounds.   Damage increases by 10 each time it is used. Max 30 Aquatic damage.
282,Explode,40,,,,100%,Mechanical,2,"100% Hit Chance  Instantly kills the caster, dealing damage equal to 40% of the user's total health to the current enemy.  Using explode will prevent the caster from activating Failsafe mechanisms."
476,Rot,25,,5 turns,3 turns,100%,Undead,2,"100% Hit Chance  Rots the target's flesh, dealing 25 Undead damage and transforming them into Undead for 5 rounds. Used by 20 battle pets. A battle pet ability."
283,Survival,,,1 turns,3 turns,100%,Critter,2,"You endure, preventing your health from being reduced below 1 health until the end of the next round.  Pets affected by Survival will survive an Apocalypse."
437,Onyx Bite,22,,,,100%,Magic,2,"100% Hit Chance  Bites the enemy with Onyx teeth, dealing 22 Magic damage. Used by 7 battle pets. In the Magic Battle Pet Abilities category."
426,Focus,,,5 turns,,100%,Humanoid,1,"Focuses intensely, increasing your speed, hit, and critical strike chance by 25% for 5 rounds. Used by 12 battle pets. A battle pet ability from World of Warcraft."
160,Consume,12,100,,1 turns,100%,Undead,1,100% Hit Chance  Deals 12 Undead damage.  The user is healed for 100% of the damage dealt. Used by 53 battle pets. In the Undead Battle Pet Abilities category.
407,Meteor Strike,30,,1 turns,4 turns,100%,Magic,1,"100% Hit Chance  Launch up high, becoming unattackable for one round.  On the next round, you impact, dealing 30 Magic damage. Used by 5 battle pets."
979,Moon Tears,18,18,9 turns,4 turns,100%,Magic,1,"100% Hit Chance  Deals 6 Magic damage to all enemy pets, restores 6 health to all allies and turns the weather into Moonlight for 9 rounds.  During Moonlight, all pets receive 25% additional healing and Magic abilities deal 10% additional damage."
409,Immolation,,,9 turns,,100%,Elemental,1,"Ignites the caster, causing them to deal 5 Elemental damage to the current enemy pet every round. Lasts 9 rounds. Used by 30 battle pets. A battle pet ability."
1025,Armageddon,60,,,,100%,Mechanical,1,"100% Hit Chance  Brings on the armageddon, dealing 20 Mechanical damage to all enemy pets and instantly killing the caster.  Using armageddon will prevent the caster from activating Failsafe mechanisms."
514,Wild Winds,18,,2 turns,,100%,Flying,1,100% Hit Chance  A sharp wind gust deals 18 Flying damage instantly and 4 Flying damage every round for 2 rounds. Persists through pet swaps.
436,Stoneskin,,,5 turns,,100%,Magic,1,Reduces up to 5 damage from each attack against you.   Lasts 5 rounds. Used by 69 battle pets. In the Magic Battle Pet Abilities category. Always up to date.
486,Drain Power,10,,2 turns,4 turns,100%,Magic,1,"100% Hit Chance  Deals 10 Magic damage, reduces the target's damage by 25% for 2 rounds and increases the user's damage by 25% for 2 rounds."
355,Triple Snap,30,,,,33%,Beast,1,"100% Hit Chance  Wildly flails at the enemy 1-3 times, dealing 10 Beast damage per hit. Used by 31 battle pets. In the Beast Battle Pet Abilities category."
378,Strike,20,,,,100%,Beast,1,"100% Hit Chance  Strikes at the enemy, dealing 20 Beast damage. Used by 36 battle pets. In the Beast Battle Pet Abilities category. Always up to date."
258,Starfall,18,18,9 turns,4 turns,100%,Dragonkin,1,"100% Hit Chance  Deals 6 Dragonkin damage to all enemy pets, restores 6 health to all allies and turns the weather into Moonlight for 9 rounds.  During Moonlight, all pets receive 25% additional healing and Magic abilities deal 10% additional damage."
501,Flame Breath,16,,4 turns,,100%,Dragonkin,1,100% Hit Chance  Deals 16 Dragonkin damage instantly. The enemy continues to  Burn for 4 additional Dragonkin damage per round for 4 rounds.
870,Murder,45,,2 turns,,100%,Flying,1,"100% Hit Chance  A murder of crows swoops in, causing 9 Flying damage on the first round, 15 Flying on the second round, and 21 Flying on the third round.   Opponents struck by the murder take 50% increased damage for 2 rounds.  Swarm continues for 3 rounds."
2500,Deadly Dreaming,,,4 turns,4 turns,100%,Undead,1,"100% Hit Chance  Arfus slumbers. His deadly dreams haunt the target, dealing 10 Undead damage every round.   While Arfus slumbers, he is considered dead."
367,Chomp,22,,,,100%,Critter,1,"100% Hit Chance  Chomps on the enemy, dealing 22 Critter damage. Used by 57 battle pets. In the Critter Battle Pet Abilities category. Always up to date."
460,Illuminate,45,,9 turns,5 turns,100%,Magic,1,"100% Hit Chance  Deals 45 Magic damage and transforms the weather into a sunny day for 9 rounds.  During a sunny day, the maximum health of all pets is increased by 50% and healing done is increased by 25%."
319,Magma Wave,21,,,,100%,Elemental,1,100% Hit Chance  Deals 7 Elemental damage to the enemy's pets.  Destroys objects created by both teams. Used by 25 battle pets. In the Elemental Battle Pet Abilities category.
413,Ice Lance,25,,,,100%,Elemental,1,"100% Hit Chance  Splashes the enemy with freezing damage, dealing 15 Elemental damage.   Deals 10 additional damage if the target is Chilled."
574,Nature's Ward,,,5 turns,,100%,Elemental,1,"Restores 8 health every round for 5 rounds.  While healing, your type is transformed into Elemental. Used by 25 battle pets. In the Elemental Battle Pet Abilities category."
124,Rampage,75,,,3 turns,100%,Beast,1,"100% Hit Chance  Goes on rampage, dealing 25 Beast damage.  Rampage continues for 3 rounds. Used by 49 battle pets. In the Beast Battle Pet Abilities category."
452,Broom,20,,,,100%,Humanoid,1,"100% Hit Chance  Whack the enemy, dealing 20 Humanoid damage. Used by 2 battle pets. A battle pet ability from World of Warcraft. Always up to date."
122,Tail Sweep,43,,,,100%,Dragonkin,1,"100% Hit Chance  Deals 18 Dragonkin damage, or 25 Dragonkin damage if the user strikes last. Used by 64 battle pets. In the Dragonkin Battle Pet Abilities category."
447,Corrosion,10,,2 turns,,100%,Magic,1,"100% Hit Chance  Splashes the target with corrosive acid, causing 10 Magic damage instantly and 5 Magic damage each round and increases damage taken by up to 2 for 2 rounds."
488,Amplify Magic,,,2 turns,3 turns,100%,Magic,1,Increases the damage done by your active pet by 50% for 2 rounds. Used by 58 battle pets. In the Magic Battle Pet Abilities category. Always up to date.
418,Geyser,,,3 turns,5 turns,100%,Elemental,1,"100% Hit Chance  Causes a water geyser to form under the enemy team.   After 3 rounds, the geyser erupts, causing the current enemy pet to take 35 Elemental damage and be stunned for 1 rounds."
382,Brittle Webbing,10,,3 turns,,100%,Beast,1,"100% Hit Chance  Deals 10 Beast damage and coats the target in brittle Webbing, causing them to take 5 Beast damage each time they attack. Lasts 3 rounds."
974,Spirit Claws,28,,,,80%,Beast,1,"80% Hit Chance  Rakes the enemy with ghostly claws, dealing 28 Beast damage.  Always hits when the weather is Moonlight. Used by 12 battle pets."
123,Healing Wave,,30,,3 turns,100%,Aquatic,1,Restores 30 health to the user. Used by 85 battle pets. In the Aquatic Battle Pet Abilities category. Always up to date with the latest patch.
644,Quake,84,,,2 turns,100%,Mechanical,1,"100% Hit Chance  Pounds the ground, dealing 12 Mechanical damage to the enemy and half that damage to their backline pets.  Quake continues and increases in damage for 3 rounds and can affect enemies underground."
168,Healing Flame,,70,,3 turns,100%,Dragonkin,1,Restores 20 health plus half of the last hit taken by the user. Used by 17 battle pets. In the Dragonkin Battle Pet Abilities category. Always up to date.
315,Spiked Skin,,,5 turns,,100%,Dragonkin,1,Reduces up to 4 damage from each attack against you and deals 3 Dragonkin damage each time you take direct damage.  Lasts 5 rounds. Used by 53 battle pets.
515,Flyby,10,,3 turns,,100%,Flying,1,100% Hit Chance  Deals 10 Flying damage and increases the target's damage taken by 25% for 3 rounds. Used by 46 battle pets. In the Flying Battle Pet Abilities category.
649,BONESTORM,49,,,3 turns,100%,Undead,1,100% Hit Chance  Deals 13 Undead damage to the enemy team but costs 10% of your total health. Used by 9 battle pets. In the Undead Battle Pet Abilities category.
310,Shell Shield,,,5 turns,,100%,Beast,1,Reduces up to 5 damage from each attack against you.   Lasts 5 rounds. Used by 72 battle pets. In the Beast Battle Pet Abilities category. Always up to date.
564,Dive,30,,1 turns,4 turns,100%,Aquatic,1,"100% Hit Chance  Submerges, becoming unattackable for one round.   On the next round, you attack, dealing 30 Aquatic damage. Used by 110 battle pets."
301,Lock-On,,,1 turns,,100%,Mechanical,1,"100% Hit Chance  First use: Locks onto the target.  Second use: Blasts the target, dealing 45 Mechanical damage. Used by 11 battle pets. A battle pet ability."
777,Missile,21,,,,100%,Mechanical,1,"100% Hit Chance  Launches a rocket at the target, dealing 21 Mechanical damage. Used by 25 battle pets. In the Mechanical Battle Pet Abilities category."
383,Leech Life,10,20,,1 turns,100%,Undead,1,100% Hit Chance  Deals 10 Undead damage.  The user restores 10 health. Double if the target is Webbed. Used by 67 battle pets. In the Undead Battle Pet Abilities category.
745,Leech Seed,10,10,1 turns,4 turns,100%,Elemental,1,"100% Hit Chance  Plants a seed in the target, instantly dealing 10 Elemental damage and restoring 10 health to the user. The seed lasts for 1 round.  Each round, the seed deals 5 Elemental damage and restores that damage as health to the user."
1016,Feed,20,100,,4 turns,100%,Beast,1,100% Hit Chance  Deals 20 Beast damage.  The user is healed for 100% of the damage dealt. Used by 50 battle pets. In the Beast Battle Pet Abilities category.
668,Dreadful Breath,57,,,,100%,Humanoid,1,100% Hit Chance  Channels a dreadful toxic breath which deals 19 Humanoid damage split across the enemy team. Deals additional damage if the weather is Cleansing Rain.  Your pet continues performing this attack for 3 rounds.
506,Cocoon Strike,10,,1 turns,3 turns,100%,Flying,1,100% Hit Chance  Deals 10 Flying damage and increases your chance to block an attack by 100%.  Lasts 1 rounds. Used by 63 battle pets. A battle pet ability.
508,Moth Dust,25,,1 turns,3 turns,25%,Flying,1,100% Hit Chance  Deals 25 Flying damage and has a 25% chance to put the target to sleep for 1 rounds. Used by 48 battle pets. In the Flying Battle Pet Abilities category.
429,Claw,21,,,,100%,Beast,1,"100% Hit Chance  Claws at the enemy, dealing 21 Beast damage. Used by 93 battle pets. In the Beast Battle Pet Abilities category. Always up to date."
116,Zap,20,,,,100%,Mechanical,1,"100% Hit Chance  Launches an electrical bolt at the target, dealing 20 Mechanical damage. Used by 25 battle pets. In the Mechanical Battle Pet Abilities category."
713,Blitz,30,,,,50%,Humanoid,1,"100% Hit Chance  Pummels the enemy 1-2 times, dealing 10 Humanoid damage per hit.  Hits an additional time if the user attacks first. Used by 4 battle pets."
270,Glowing Toxin,,,4 turns,,100%,Flying,1,100% Hit Chance  Deals 6% of the target's max health as damage every round.  Lasts 4 rounds. Used by 38 battle pets. In the Flying Battle Pet Abilities category.
212,Siphon Life,,,3 turns,,100%,Undead,1,100% Hit Chance  Deals 4 Undead damage per round for 3 rounds and heals the user for 4. Used by 39 battle pets. In the Undead Battle Pet Abilities category.
472,Blast of Hatred,25,,,,100%,Magic,1,100% Hit Chance  Deals 15 Magic damage.   Deals 10 extra damage if you were struck first this round. Used by 11 battle pets. In the Magic Battle Pet Abilities category.
525,Emerald Bite,21,,,,100%,Magic,1,"100% Hit Chance  Bites the enemy with Emerald teeth, dealing 21 Magic damage. Used by 13 battle pets. In the Magic Battle Pet Abilities category."
206,Call Blizzard,27,,9 turns,3 turns,100%,Elemental,1,"100% Hit Chance  Deals 27 Elemental damage and causes a Blizzard for 9 rounds.  During a Blizzard, all pets are considered Chilled and Elemental abilities deal 25% additional damage."
155,Hiss,20,,4 turns,3 turns,100%,Beast,1,100% Hit Chance  Deals 20 Beast damage and reduces the target's speed by 25% for 4 rounds. Used by 77 battle pets. In the Beast Battle Pet Abilities category.
112,Peck,20,,,,100%,Flying,1,"100% Hit Chance  Pokes at the enemy with a sharp beak, dealing 20 Flying damage. Used by 99 battle pets. In the Flying Battle Pet Abilities category."
663,Corpse Explosion,15,,4 turns,,100%,Undead,1,"100% Hit Chance  Instantly kills the user, causing 15% of their health as Undead damage to the enemy and infects the target.  Infected targets receive 5% of their maximum health as Undead damage every round for 4 rounds."
442,Spectral Strike,40,,,3 turns,50%,Magic,1,"50% Hit Chance  Strikes at the enemy with the power of a spirit beast, causing 40 Magic damage.   Always hits if the target is Blinded. Used by 9 battle pets."
